,N,NaiveMults,NaiveTime,PipMults,PipTime,bits
103,76,14276,0.030178546905517578,3059,0.03902602195739746,128
104,79,15038,0.026111364364624023,3227,0.024930238723754883,128
105,82,15596,0.027942657470703125,3296,0.025449514389038086,128
106,85,16230,0.03859853744506836,3437,0.028646469116210938,128
107,88,16708,0.03851914405822754,3539,0.04678630828857422,128
108,91,17429,0.03801131248474121,3699,0.03169846534729004,128
109,94,17757,0.030672311782836914,3751,0.039339303970336914,128
110,97,18524,0.033437490463256836,3906,0.03804159164428711,128
111,100,18980,0.04282522201538086,3973,0.03413271903991699,128
112,103,19572,0.04064059257507324,4122,0.05068373680114746,128
113,106,20169,0.03618812561035156,4222,0.050538063049316406,128
114,109,20673,0.04317617416381836,4341,0.040015459060668945,128
115,112,21347,0.03779268264770508,4470,0.04346346855163574,128
116,115,21703,0.04735112190246582,4568,0.04164910316467285,128
117,118,22293,0.05588173866271973,4643,0.0531313419342041,128
118,121,22977,0.044786930084228516,4803,0.052278995513916016,128
119,124,23606,0.05048179626464844,4892,0.04485630989074707,128
120,127,24118,0.04465603828430176,5042,0.05202817916870117,128
121,1,384,0.0008366107940673828,411,0.0017650127410888672,256
122,7,2684,0.009601831436157227,966,0.007836103439331055,256
123,13,4965,0.016553163528442383,1451,0.017659664154052734,256
124,19,7267,0.020641803741455078,1939,0.026285171508789062,256
125,25,9590,0.02529144287109375,2490,0.030441999435424805,256
126,31,11796,0.03268122673034668,2829,0.030427932739257812,256
127,37,14116,0.04342937469482422,3011,0.03191232681274414,256
128,43,16472,0.032440900802612305,3469,0.03532862663269043,256
129,49,18776,0.04393196105957031,3911,0.03134775161743164,256
130,55,20987,0.040856361389160156,4356,0.04631209373474121,256
131,61,23280,0.04977083206176758,4801,0.04259061813354492,256
132,67,25477,0.05722832679748535,4876,0.034857749938964844,256
133,73,27844,0.08009147644042969,5282,0.05271005630493164,256
134,79,30190,0.09922552108764648,5755,0.06865525245666504,256
135,85,32525,0.09781408309936523,6149,0.06763243675231934,256
136,91,34863,0.09487271308898926,6560,0.08444571495056152,256
137,97,37120,0.09852862358093262,6960,0.08353781700134277,256
138,103,39332,0.08611631393432617,7370,0.08850979804992676,256
139,109,41515,0.08037447929382324,7738,0.06932973861694336,256
140,115,44025,0.08360886573791504,8195,0.06740474700927734,256
141,121,46308,0.08788800239562988,8596,0.07656359672546387,256
142,127,48544,0.09472012519836426,9024,0.08271479606628418,256
143,133,50807,0.09750556945800781,8695,0.08457350730895996,256
144,139,53059,0.10104537010192871,9074,0.08838772773742676,256
145,145,55224,0.1032402515411377,9401,0.09463810920715332,256
146,151,57579,0.1089773178100586,9839,0.1048288345336914,256
147,157,59962,0.11169791221618652,10200,0.10958552360534668,256
148,163,62161,0.11698269844055176,10596,0.11499142646789551,256
149,169,64575,0.12189006805419922,10948,0.11487936973571777,256
150,175,66932,0.12992072105407715,11311,0.11908531188964844,256
151,181,69238,0.1327204704284668,11704,0.12406516075134277,256
152,187,71591,0.13657832145690918,12105,0.16704034805297852,256
153,193,73713,0.1427927017211914,12471,0.13777494430541992,256
154,199,75999,0.14367985725402832,12847,0.14254069328308105,256
155,205,78281,0.14723587036132812,13187,0.14980697631835938,256
156,211,80526,0.15404343605041504,13605,0.16433477401733398,256
157,217,82960,0.15857577323913574,13921,0.17166709899902344,256
158,223,85404,0.16321587562561035,14367,0.18043875694274902,256
159,229,87598,0.1735072135925293,14716,0.18598675727844238,256
160,235,89887,0.1719505786895752,15090,0.18601441383361816,256
161,241,92011,0.173325777053833,15473,0.20185065269470215,256
162,247,94335,0.1843428611755371,15838,0.20202851295471191,256
163,253,96447,0.18215537071228027,16226,0.2129981517791748,256
164,1,766,0.0031256675720214844,760,0.004522085189819336,512
165,12,9196,0.026831865310668945,2613,0.02322554588317871,512
166,23,17683,0.045500755310058594,3843,0.03811192512512207,512
167,34,25999,0.0713493824005127,5205,0.05265307426452637,512
168,45,34492,0.09400582313537598,6805,0.07346272468566895,512
169,56,43007,0.11734366416931152,8369,0.09467649459838867,512
170,67,51328,0.14369535446166992,9539,0.09842181205749512,512
171,78,59679,0.16975688934326172,11011,0.12276148796081543,512
172,89,68195,0.1972508430480957,11304,0.17891812324523926,512
173,100,76489,0.22221946716308594,12596,0.17310404777526855,512
174,111,85016,0.25693750381469727,13947,0.2034914493560791,512
175,122,93321,0.3576083183288574,15292,0.23999786376953125,512
176,133,101901,0.30600452423095703,15548,0.30785250663757324,512
177,144,110021,0.37024402618408203,16771,0.2220933437347412,512
178,155,118890,0.33664751052856445,17978,0.22787904739379883,512
179,166,127302,0.358349084854126,19294,0.2982349395751953,512
180,177,135694,0.38901519775390625,20522,0.2746613025665283,512
181,188,144192,0.40453314781188965,21814,0.30441904067993164,512
182,199,152354,0.42836880683898926,23018,0.32468438148498535,512
183,210,160933,0.4448223114013672,24253,0.3386054039001465,512
184,221,169165,0.6352145671844482,25521,0.5710148811340332,512
185,232,177422,0.5452983379364014,26714,0.4695303440093994,512
186,243,186075,0.9656589031219482,27996,0.596696138381958,512
187,254,194368,1.3558032512664795,29234,0.8734762668609619,512
188,265,203177,1.2508745193481445,30425,0.9082210063934326,512
189,276,211627,0.5623753070831299,31768,0.8365762233734131,512
190,287,219879,0.725287675857544,32959,0.6014032363891602,512
191,298,228254,0.6928958892822266,32242,0.5409440994262695,512
192,309,236774,0.6161715984344482,33266,0.5460121631622314,512
193,320,245186,0.651496410369873,34527,0.5853362083435059,512
194,331,253492,0.6659722328186035,35766,0.5828945636749268,512
195,342,262043,0.65519118309021,36779,0.6558175086975098,512
196,353,270347,0.6976892948150635,38013,0.6409730911254883,512
197,364,279040,1.2312912940979004,39228,0.9791605472564697,512
198,375,287335,0.8885998725891113,40331,1.2190189361572266,512
199,386,296186,0.7435786724090576,41540,0.9292199611663818,512
200,397,304336,0.7584667205810547,42777,0.7900245189666748,512
201,408,312676,0.913978099822998,43788,1.172800064086914,512
202,419,321391,1.0202603340148926,45023,0.9555823802947998,512
203,430,329356,1.551659107208252,46231,1.2897100448608398,512
204,441,337867,0.9354453086853027,47288,1.0343701839447021,512
205,452,346392,1.168438196182251,48499,1.0351672172546387,512
206,463,354828,1.1404352188110352,49710,1.3162176609039307,512
207,474,363200,0.9132211208343506,50822,1.0472266674041748,512
208,485,371447,0.9542851448059082,51943,1.029712200164795,512
209,496,379909,0.9948620796203613,53202,1.120274543762207,512
210,507,388324,0.9718194007873535,54249,1.1082673072814941,512
